NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"4ª Delegacia do Serviço Militar da 24ª C S M","4ª Del SM / 24ª CSM","AV. ALBERTO MARANHÃO, 1485","PARAÍBA","Mossoró","RN","59600000"
"4ª Delegacia do Serviço Militar da 25ª C S M","4ª Del SM / 25ª CSM","AV. TEODORICO TELES S/N","CENTRO","Crato","CE","63100000"
"4ª Delegacia do Serviço Militar da 26ª C S M","4ª Del SM / 26ª CSM","RUA FERNANDO MARQUES, 459","CENTRO","Floriano","PI","64800000"
"4ª Delegacia do Serviço Militar da 27ª C S M","4ª Del SM / 27ª CSM","PRAÇA GETULIO VARGAS, 385",,"Barra do Corda","MA","65950000"
"4ª Delegacia do Serviço Militar da 28ª C S M","4ª Del SM / 28ª CSM","RUA SILVÉRIO SIROTHEAU CORREA, 1109","CENTRO","Santarém","PA","68005050"
"4ª Delegacia do Serviço Militar da 29ª C S M","4ª Del SM / 29ª CSM","RUA FLORIANO PEIXOTO, 266","CENTRO","Tefé","AM","69470000"
"4ª Delegacia do Serviço Militar da 30ª C S M","4ª Del SM / 30ª CSM","RUA COMENDADOR GARCIA, 335","CENTRO","Paranaíba","MS","79500000"
"4ª Delegacia do Serviço Militar da 31ª C S M","4ª Del SM / 31ª CSM","RUA PEDRO TELES S/N","CENTRO","Cruzeiro do Sul","AC","69980000"
"4ª Delegacia do Serviço Militar da 5ª C S M","4ª Del SM / 5ª CSM","AV. SÃO PAULO, 502","CENTRO","Araraquara","SP","14801060"
"4ª Delegacia do Serviço Militar da 7ª C S M","4ª Del SM / 7ª CSM","RUA CEL VIANA, 340","CENTRO","Rio Verde","GO","75901190"
"4ª Delegacia do Serviço Militar da 8ª C S M","4ª Del SM / 8ª CSM","RUA FLORES DA CUNHA, 143","CENTRO","Bagé","RS","96400121"
"4º Depósito de Suprimento","4º D Sup","PCA PRES ANTONIO CARLOS ,n°140","CENTRO","Juiz de Fora","MG","36010140"
"4ª Esquadrão de Cavalaria Mecanizado","4º Esqd C Mec","RUA 15 DE FEVEREIRO, 1388","SÃO SEBASTIÃO","Santos Dumont","MG","36240000"
"4º Grupo de Artilharia Antiaérea","4º GAAAe","AV DUQUE DE CAXIAS,  01","WENCESLAU BRAZ","Sete Lagoas","MG","35701970"
"4º Grupo de Artilharia de Campanha Leve","4º GAC L","AV JUSCELINO KUBITSCHEK, 5100","NOVA ERA","Juiz de Fora","MG","36087000"
"4ª Inspetoria de Contabilidade e Finanças do Exército","4ª ICFEx","RUA CORONEL TANCREDO S/N","FÁBRICA","Juiz de Fora","MG","36080240"
"4º Pelotão de Polícia do Exército","4º Pel PE","AV GUAICURUS, 8000","ZONA RURAL","Dourados","MS","79823900"
"4º Regimento de Carros de Combate","4º RCC","RUA AMARO SOUTO, 809","CENTRO","Rosário do Sul","RS","97590000"
"4º Regimento de Cavalaria Blindado","4º RCB","RUA BENJAMIN CONSTANT S/N","Bairro Duque de Caxias","São Luiz Gonzaga","RS","97800000"
"40º Batalhão de Infantaria","40º BI","BR 226,  KM 3","Venâncios","Crateús","CE","63700000"
"41º Batalhão de Infantaria Motorizado","41º BI Mtz","AV MAL CASTELO BRANCO S/N","VILA OLAVO","Jataí","GO","75800000"
"41º Centro de Telemática","41º CT","Av. Almirante Barroso, 4531","Souza","Belém","PA","66613710"
"44º Batalhão de Infantaria Motorizado","44º BI Mtz","AV LAVA-PÉS, 177","DUQUE DE CAXIAS","Cuiabá","MT","78040000"
"47º Batalhão de Infantaria","47º BI","RODOVIA BR-163, KM 729","VILA SAO PAULO","Coxim","MS","79400000"
"5º Batalhão de Engenharia de Combate Blindado","5º BE Cmb Bld","AV. EXP. EDMUNDO ARRABAR, NR 2338","SANTA ROSA","Porto União","SC","89400000"
"5º Batalhão de Engenharia de Construção","5º BEC","AV ROGERIO WEBER, 01","MILITAR","Porto Velho","RO","76804604"
"5º Batalhão de Infantaria Leve","5º BIL","AV MARECHAL ARGOLO, 19","CRUZ","Lorena","SP","12600000"
"5º Batalhão de Suprimento","5º B Sup","AV SILVA JARDIM , 110","REBOUÇAS","Curitiba","PR","80230000"
"5º Batalhão Logístico","5º B Log","RUA VALDECI DOS SANTOS, 115","PINHEIRINHO","Curitiba","PR","81150370"
"5ª Bateria de Artilharia Antiaérea Leve","5ª Bia AAAe L","Rua das Margaridas, Praça Antônio Raposo Tavares, S/Nº","Quitaúna","Osasco","SP","06194140"
"5º Centro de Geoinformação","5º CGEO","RUA MAJOR DAEMON, 81","CENTRO","Rio de Janeiro","RJ","20081190"
"5º Centro de Telemática de Área","5º CTA","BR 232 - KM 6","CURADO","Recife","PE","50790540"
"5ª Circunscrição de Serviço Militar","5ª CSM","RUA DUQUE DE CAXIAS, 1255","CENTRO","Ribeirão Preto","SP","14015020"
"5ª Companhia de Comunicações Blindada","5ª Cia Com Bld","AV REPUBLICA  ARGENTINA, 3800","NOVO MUNDO","Curitiba","PR","81050000"
"5ª Companhia de Inteligência","5ª Cia Intlg","RODOVIA BR 232 - KM 12","CURADO","Recife","PE","50950000"
"5ª Companhia de Polícia do Exército","5ª Cia PE","RUA 31 DE MARCO, S/N","PINHEIRINHO","Curitiba","PR","81150900"
"5ª Delegacia do Serviço Militar da  31ª C S M","5ª Del SM / 31ª CSM","AV. NAÇÕES UNIDAS, 1072 - SALA 201/202 - ED. JOSÉ GABRIEL","BOSQUE","Rio Branco","AC","69900901"
"5ª Delegacia do Serviço Militar da 10ª C S M","5ª Del SM / 10ª CSM","PRAÇA DA BANDEIRA, 68","CENTRO","Santa Rosa","RS","98900000"
"5ª Delegacia do Serviço Militar da 11ª C S M","5ª Del SM / 11ª CSM","PRAÇA TORQUATO DE ALMEIDA, 100","CENTRO","Pará de Minas","MG","35660041"
"5ª Delegacia do Serviço Militar da 13ª C S M","5ª Del SM / 13ª CSM","RUA SANTANA, 111","CENTRO","Lavras","MG","37200000"
"5ª Delegacia do Serviço Militar da 14ª C S M","5ª Del SM / 14ª CSM","AV ADIB CHAIB, 2250","CENTRO","Mogi-Mirim","SP","13800000"
"5ª Delegacia do Serviço Militar da 15ª C S M","5ª Del SM / 15ª CSM",,,"Colombo","PR",
"5ª Delegacia do Serviço Militar da 16ª C S M","5ª Del SM / 16ª CSM",,,"Joinville","SC",
"5ª Delegacia do Serviço Militar da 17ª C S M","5ª Del SM / 17ª CSM","AV. DR LAURO MOTA, 545","GINÁSIO","Serrinha","BA","48700000"
"5ª Delegacia do Serviço Militar da 18ª C S M","5ª Del SM / 18ª CSM","RUA PARAMIRIM, 46","CENTRO","Bom Jesus da Lapa","BA","46400000"
"5ª Delegacia do Serviço Militar da 2ª C S M","5ª Del SM / 2ª CSM","RUA URANOS, 1230","RAMOS","Rio de Janeiro","RJ","21060070"
"5ª Delegacia do Serviço Militar da 20ª C S M","5ª Del SM / 20ª CSM","RUA PRESIDENTE MEDICI, 80","ALTO CRUZEIRO","Arapiraca","AL","57300000"
"5ª Delegacia do Serviço Militar da 21ª C S M","5ª Del SM / 21ª CSM",,,"Gravatá","PE",
"5ª Delegacia do Serviço Militar da 23ª C S M","5ª Del SM / 23ª CSM","RUA VIGOLUINO WANDERLEY, 80","CONCEIÇÃO","Campina Grande","PB","58100000"
"5ª Delegacia do Serviço Militar da 25ª C S M","5ª Del SM / 25ª CSM","RUA DR. MOREIRA DA ROCHA , 645","CENTRO","Crateús","CE","63700000"
"5ª Delegacia do Serviço Militar da 26ª C S M","5ª Del SM / 26ª CSM","RUA SÃO JOÃO S/N","CENTRO","Bom Jesus","PI","64900000"
"5ª Delegacia do Serviço Militar da 27ª C S M","5ª Del SM / 27ª CSM","RUA HUMBERTO DE CAMPOS, 318","CENTRO","Balsas","MA","65800000"
"5ª Delegacia do Serviço Militar da 28ª C S M","5ª Del SM / 28ª CSM","AV. ANTÔNIO MAIA, 1521","CENTRO","Marabá","PA","68500000"
"5ª Delegacia do Serviço Militar da 29ª C S M","5ª Del SM / 29ª CSM","AV. DA AMIZADE","CENTRO","Tabatinga","AM","69640000"
"5ª Delegacia do Serviço Militar da 30ª C S M","5ª Del SM / 30ª CSM","AV. 7 DE SETEMBRO - TERMINAL RODOVIÁRIO","CENTRO","Cáceres","MT","78200000"
"5ª Delegacia do Serviço Militar da 4ª C S M","5ª Del SM / 4ª CSM","RUA PARANÁ, 131","VILA MATHIAS","Santos","SP","11075320"
"5ª Delegacia do Serviço Militar da 5ª C S M","5ª Del SM / 5ª CSM","RUA 13 DE MAIO, 2171","CENTRO","São Carlos","SP","13560130"
"5ª Delegacia do Serviço Militar da 6ª C S M","5ª Del SM / 6ª CSM","RUA PROF. CHIQUITA FERNANDES, 1221","BANDEIRAS","Araçatuba","SP","16025100"
"5ª Delegacia do Serviço Militar da 7ª C S M","5ª Del SM / 7ª CSM","PREFEITURA MUNICIPAL - PRAÇA CÍVICA, S/N","CENTRO","Goianésia","GO","76300000"
"5ª Delegacia do Serviço Militar da 8ª C S M","5ª Del SM / 8ª CSM","RUA SETE DE SETEMBRO, 47","CENTRO","Osório","RS","95520000"
"5º Esquadrão de Cavalaria Mecanizado","5º Esqd C Mec","PRAÇA DUQUE DE CAXIAS S/N","CENTRO","Castro","PR","84165970"
"5º Grupo de Artilharia de Campanha Autopropulsado","5º GAC  AP","AV MAL FLORIANO PEIXOTO, 9190","BOQUEIRÃO","Curitiba","PR","81730900"
"5ª Inspetoria de Contabilidade e Finanças do Exército","5ª ICFEx","AV. SILVA JARDIM, 110","REBOUÇAS","Curitiba","PR","80230000"
"5º Regimento de Carros de Combate","5º RCC","PRAÇA SANTO ANGELO S/N","VILA MILITAR","Rio Negro","PR","83880000"
"5º Regimento de Cavalaria Mecanizado","5º RC Mec","RUA D ARTGMAN TUBINO S/N","CENTRO","Quaraí","RS","97560000"
"50º Batalhão de Infantaria de Selva","50º BIS","AV BERNARDO SAYAO S/Nr","NOVA IMPERATRIZ","Imperatriz","MA","65907000"
"51º Batalhão de Infantaria de Selva","51º BIS","ESTRADA ERNESTO ACIOLY S/N","CENTRO","Altamira","PA","68371970"
"51º Centro de Telemática","51º CT","AV. LUIZ VIANA FILHO, S/N","BOLANDEIRA","Salvador","BA","41770000"
"52º Batalhão de Infantaria de Selva","52º BIS","KM 8 RODOVIA TRANSAMAZÔNICA","NOVA MARABÁ","Marabá","PA","68508970"
"52º Centro de Telemática","52º CT","Aq Gen Tibúrcio - Av Luciano Carneiro, 840","Fátima","Fortaleza","CE","60410690"
"53º Batalhão de Infantaria de Selva","53º BIS","ESTRADA DO QUINQUAGÉSIMO TERCEIRO BIS, S/Nr","BOM JARDIM","Itaituba","PA","68181470"
"54º Batalhão de Infantaria de Selva","54º BIS","BR 319 - KM 9","Zona Rural","Humaitá","AM","69800000"
"55º Batalhão de Infantaria","55º BI","BR 135 - KM 301","SANTO ANTÔNIO","Montes Claros","MG","39402296"
"57º Batalhão de Infantaria Motorizado (Escola)","57º BI Mtz (Es)","AV DUQUE DE CAXIAS,1136","VILA MILITAR","Rio de Janeiro","RJ","21615220"
"58º Batalhão de Infantaria Motorizado","58º BI Mtz","AVENIDA DUQUE DE CAXIAS, 2348","SETOR MILITAR","Aragarças","GO","76240000"
"59º Batalhão de Infantaria Motorizado","59º BI Mtz","AV FERNANDES LIMA, 1970","FAROL","Maceió","AL","57050000"
"6° Batalhão de Comunicações","6° B Com","Av. São Roque, s/nº","São Roque","Bento Gonçalves","RS","95700000"
"6º Batalhão de Engenharia de Combate","6º BE Cmb","RUA GENERAL JOAO MANOEL, NR 1261","CENTRO","São Gabriel","RS","97300000"
"6º Batalhão de Engenharia de Construção","6º BEC","AV CAP ENE GARCEZ , 1037","MECEJANA","Boa Vista","RR","69304000"
"6º Batalhão de Infantaria Leve","6º BIL","RUA JOSE BONIFÁCIO , 33","CENTRO","Caçapava","SP","12280000"
"6º Batalhão de Inteligência Militar","6º B Intlg Mil","AV. DUQUE DE CAXIAS, 1628","AMAMBAI","Campo Grande","MS",
"6º Batalhão de Polícia do Exército","6º BPE","AV LUIZ VIANA FILHO S/N - SMUS","PARARELA","Salvador","BA","41180730"
"6ª Bateria de Artilharia Antiaérea Autopropulsada","6ª Bia AAAe AP","AV JOÃO LOBO D`AVILA, S/N","PERPÉTUO SOCORRO","Santa Maria","RS","97043290"
"6º Centro de Telemática de Área","6º CTA","AV DUQUE DE CAXIAS, 1628","AMAMBAI","Campo Grande","MS","79100900"
"6ª Circunscrição de Serviço Militar","6ª CSM","Rua Bandeirantes, Quadra 03, Número 55","Centro","Bauru","SP","17015010"
"6ª Companhia de Comunicações","6ª Cia Com","RUA VISCONDE MAUÁ S/N","CENTRO","Cristalina","GO","73850000"
"6ª Delegacia do Serviço Militar da  19ª C S M","6ª Del SM / 19ª CSM","AV. PREFEITO ABREU DE LIMA, 168","CENTRO","Propriá","SE","49900000"
"6ª Delegacia do Serviço Militar da 10ª C S M","6ª Del SM / 10ª CSM","AV. PINHEIRO MACHADO, 649","CENTRO","Júlio de Castilhos","RS","98130000"
"6ª Delegacia do Serviço Militar da 11ª C S M","6ª Del SM / 11ª CSM","RUA DOMINGOS LOUVERTURE, 229","SÃO GERALDO","Sete Lagoas","MG","35700177"
"6ª Delegacia do Serviço Militar da 12ª C S M","6ª Del SM / 12ª CSM","RUA MIGUEL DE CASTRO S/N","CENTRO","Caratinga","MG","35300000"
"6ª Delegacia do Serviço Militar da 16ª C S M","6ª Del SM / 16ª CSM","RUA SEBASTIÃO CRUZ, 38","JARDIM BLUMENAU","Blumenau","SC","89010340"
"6ª Delegacia do Serviço Militar da 17ª C S M","6ª Del SM / 17ª CSM","PRAÇA DUQUE DE CAXIAS, 38-2º ANDAR-SINDICATO RURAL","CENTRO","Santo Antônio de Jesus","BA","44570000"
"6ª Delegacia do Serviço Militar da 2ª C S M","6ª Del SM / 2ª CSM","PRAÇA BENEDITO LACERDA S/N","CENTRO","Macaé","RJ","28700000"
"6ª Delegacia do Serviço Militar da 20ª C S M","6ª Del SM / 20ª CSM","PRAÇA DA MATRIZ, 8","CENTRO","Delmiro Gouveia","AL","57480000"
"6ª Delegacia do Serviço Militar da 24ª C S M","6ª Del SM / 24ª CSM","AV. SERIDÓ S/N","CENTRO","Caicó","RN","59300000"
"6ª Delegacia do Serviço Militar da 25ª C S M","6ª Del SM / 25ª CSM","PRAÇA DA SÉ, 5","CENTRO","Sobral","CE","62011000"
"6ª Delegacia do Serviço Militar da 26ª C S M","6ª Del SM / 26ª CSM","PRAÇA SANTANA S/N","CENTRO","Canto do Buriti","PI","64890000"
"6ª Delegacia do Serviço Militar da 27ª C S M","6ª Del SM / 27ª CSM","RUA CEL MANOEL BANDEIRA, 1632","CENTRO","Imperatriz","MA","65900010"
"6ª Delegacia do Serviço Militar da 28ª C S M","6ª Del SM / 28ª CSM","RUA DR ACELINO DE LEÃO, 345","TREM","Macapá","AP","68906300"
"6ª Delegacia do Serviço Militar da 29ª C S M","6ª Del SM / 29ª CSM","AV. MARIO HOMEM DE MELO, 2301","MECEJANA","Boa Vista","RR","69304350"
"6ª Delegacia do Serviço Militar da 30ª C S M","6ª Del SM / 30ª CSM","RUA CARAJAS, 444 - PREFEITURA MUNICIPAL","CENTRO","Barra do Garças","MT","78600000"
"6ª Delegacia do Serviço Militar da 31ª C S M","6ª Del SM / 31ª CSM","RUA BENJAMIN CONSTANT, 46","CENTRO","Humaitá","AM","69800901"
"6ª Delegacia do Serviço Militar da 8ª C S M","6ª Del SM / 8ª CSM","RUA VIAMÃO, 68","GUARANI","Novo Hamburgo","RS","93520630"
"6º Depósito de Suprimento","6º D Sup","RUA GAMBOA DE CIMA S/N - FORTE DE SÃO PEDRO","CAMPO GRANDE","Salvador","BA","40060008"
"6º Esquadrão de Cavalaria Mecanizado","6º Esqd C Mec","Rua Irmã Dulce nº 2200","BOI MORTO","Santa Maria","RS","97030630"
"6º Grupo de Artilharia de Campanha","6º GAC","RUA MORON, 548","CENTRO","Rio Grande","RS","96200450"
"6º Grupo de Mísseis e Foguetes","6º G M F","BR 020 Km 07","Zona Rural","Formosa","GO","73801970"
"6ª Inspetoria de Contabilidade e Finanças do Exército","6ª ICFEx",,,"Salvador","BA",
"6º Pelotão de Polícia do Exército","6º Pel PE","Av Contorno s/n-Bda Op Esp","JARDIM GUANABARA","Goiânia","GO","74675710"
"6º Regimento de Cavalaria Blindado","6º RCB","RUA GEN VITORINO, 1231","RESTINGA SECA","Alegrete","RS","97542311"
"61º Batalhão de Infantaria de Selva","61º BIS","AV 25 DE AGOSTO , 3224","VILA MILITAR","Cruzeiro do Sul","AC","69980000"
"62º Batalhão de Infantaria","62º BI","RUA MINISTRO CALÓGERAS, 1200","ATIRADORES","Joinville","SC","89203000"
"63º Batalhão de Infantaria","63º BI","RUA GEN EURICO GASPAR DUTRA, 831","ESTREITO","Florianópolis","SC","88070001"
"7º Batalhão de Engenharia de Combate","7º BE Cmb","RUA DJALMA MARANHAO 641","N DESCOBERTA","Natal","RN","59075290"
"7º Batalhão de Engenharia de Construção","7º BEC","Avenida Nações Unidas, nr 2100","7º BEC","Rio Branco","AC","69918093"
"7º Batalhão de Infantaria Blindado","7º BIB","RUA MARECHAL FLORIANO, 1840","CENTRO","Santa Cruz do Sul","RS","96810000"
"7º Batalhão de Polícia do Exército","7º BPE","AV CEL TEIXEIRA, 1944","COMPENSA I","Manaus","AM","69030480"
"7º Centro de Telemática de Área","7º CTA","SETOR MILITAR URBANO","S M U","Brasília","DF","70630000"
"7ª Circunscrição de Serviço Militar","7ª CSM","AV PARANAÍBA, 1214","CENTRO","Goiânia","GO","74025010"
"7ª Companhia de Comunicações","7ª Cia Com","AV PADRE IBIAPINA, 300","TEJIPIÓ","Recife","PE","50920370"
"7ª Companhia de Inteligência","7ª Cia Intlg","ED. MINISTÉRIO DO EXERCITO - SOBRELOJA","ESPLANADA DOS MINISTÉRIOS","Brasília","DF","70052900"
"7ª Delegacia do Serviço Militar da 10ª C S M","7ª Del SM / 10ª CSM","AV. PRESIDENTE VARGAS, 975","CENTRO","Cruz Alta","RS","98000000"
"7ª Delegacia do Serviço Militar da 12ª C S M","7ª Del SM / 12ª CSM","PRAÇA GOVERNADOR VALADARES, 101 - SALA 311","CENTRO","Cataguases","MG","36770000"
"7ª Delegacia do Serviço Militar da 13ª C S M","7ª Del SM / 13ª CSM","RUA CEL ALFREDO S. JUNQUEIRA S/N - ED PREFEITURA","CENTRO","Três Corações","MG","37410000"
"7ª Delegacia do Serviço Militar da 14ª C S M","7ª Del SM / 14ª CSM","RUA DEZ, 70","ESTÁDIO","Rio Claro","SP","13500090"
"7ª Delegacia do Serviço Militar da 16ª C S M","7ª Del SM / 16ª CSM",,,"Maravilha","SC",
"7ª Delegacia do Serviço Militar da 17ª C S M","7ª Del SM / 17ª CSM","PRAÇA RIO BRANCO S/N","CENTRO","Jacobina","BA","44700000"
"7ª Delegacia do Serviço Militar da 18ª C S M","7ª Del SM / 18ª CSM",,,"Eunápolis","BA",
"7ª Delegacia do Serviço Militar da 2ª C S M","7ª Del SM / 2ª CSM","AV. GEREMARIO DANTAS, 48","JACAREPAGUÁ","Rio de Janeiro","RJ","22735010"
"7ª Delegacia do Serviço Militar da 21ª C S M","7ª Del SM / 21ª CSM","PRAÇA JOÃO XXIII S/N","CENTRO","Paulista","PE","53401370"
"7ª Delegacia do Serviço Militar da 23ª C S M","7ª Del SM / 23ª CSM","PRAÇA FREI MARTINHO, S/N - UNIDAD CULTURAL"," CENTRO","Patos","PB","58700000"
"7ª Delegacia do Serviço Militar da 25ª C S M","7ª Del SM / 25ª CSM","AV. COSTA SOUZA","BENFICA","Fortaleza","CE","60020300"
"7ª Delegacia do Serviço Militar da 28ª C S M","7ª Del SM / 28ª CSM",,,"Santa Isabel do Pará","PA",
"7ª Delegacia do Serviço Militar da 29ª C S M","7ª Del SM / 29ª CSM",,,"Barcelos","AM",
"7ª Delegacia do Serviço Militar da 30ª C S M","7ª Del SM / 30ª CSM","RUA ESTEVÃO ALVES CORREA","ESTACÃO RODOVIÁRIA","Aquidauana","MS","79200000"
"7ª Delegacia do Serviço Militar da 4ª C S M","7ª Del SM / 4ª CSM","RUA SAGIRO NAKAMURA, 500","VILA INDUSTRIAL","São José dos Campos","SP","12200000"
"7ª Delegacia do Serviço Militar da 5ª C S M","7ª Del SM / 5ª CSM","RUA RECIFE, 880","CENTRO","Catanduva","SP","15801260"
"7ª Delegacia do Serviço Militar da 6ª C S M","7ª Del SM / 6ª CSM","RUA BANDEIRANTES, 665","CENTRO","Andradina","SP","16901065"
"7ª Delegacia do Serviço Militar da 7ª C S M","7ª Del SM / 7ª CSM","Av Cipriano del Fávero, 760","CENTRO","Uberlândia","MG","38400106"
"7ª Delegacia do Serviço Militar da 8ª C S M","7ª Del SM / 8ª CSM","AV. SILVINO SANSON, 1157","CENTRO","Guaporé","RS","99200000"
"7º Depósito de Suprimento","7º D Sup","RUA GEN ESTILAC LEAL, 439","CABANGA","Recife","PE","50090450"
"7º Grupo de Artilharia de Campanha","7º GAC","Av Joaquim Nabuco, 1957","Ouro Preto","Olinda","PE","53320640"
"7ª Inspetoria de Contabilidade e Finanças do Exército","7ª ICFEx","AV JOÃO DE BARROS, 711","BOA VISTA","Recife","PE","50100020"
"7º Pelotão de Comunicações","7º Pel Com",,,"Natal","RN",
"7º Pelotão de Polícia do Exército","7º Pel PE","AV HERMES DA FONSECA, 1415","TIROL","Natal","RN","59015001"
"7º Regimento de Cavalaria Mecanizado","7º RC Mec","CERRO DO DEPOSITO S/N","CENTRO","Santana do Livramento","RS","97550970"
"71º Batalhão de Infantaria Motorizado","71º BI Mtz","BR 423 - KM 96","HELIÓPOLIS","Garanhuns","PE","55290901"
"72º Batalhão de Infantaria Motorizado","72º BI Mtz","AV CARDOSO DE SÁ S/ N","VILA EDUARDO","Petrolina","PE","56238902"
"8º Batalhão de Engenharia de Construção","8º BEC","BR - 163 - KM 10 - SERRA DE PIQUIATUBA","CIPOAL","Santarém","PA","68033010"
"8º Batalhão de Polícia  do Exército","8º BPE","Rua Manuel da Nóbrega, 1015","Paraíso","São Paulo","SP","04001084"
"8º Batalhão Logístico","8º B Log","AV BENTO GONCALVES, 3156","PARTENON","Porto Alegre","RS","90650001"
"8ª Circunscrição de Serviço Militar","8ª CSM","RUA DOS ANDRADAS, 629","CENTRO","Porto Alegre","RS","90020001"
"8ª Companhia De Comunicações","8ª CIA COM",,,"Bento Gonçalves","RS",
"8ª Companhia De Inteligência","8ª Cia Intlg",,,"Belém","PA",
"8ª Delegacia do Serviço Militar da 10ª C S M","8ª Del SM / 10ª CSM","RUA DO COMÉRCIO, 306","CENTRO","Ijuí","RS","98700000"
"8ª Delegacia do Serviço Militar da 11ª C S M","8ª Del SM / 11ª CSM","TERMINAL RODOVIÁRIO - SALA 19/20 - 2º ANDAR","CIDADE NOVA","Montes Claros","MG","39400000"
"8ª Delegacia do Serviço Militar da 12ª C S M","8ª Del SM / 12ª CSM","RUA RODRIGUES MAIA, 490","ANGÉLICA","Conselheiro Lafaiete","MG","36400000"
"8ª Delegacia do Serviço Militar da 13ª C S M","8ª Del SM / 13ª CSM","PRAÇA CONEGO JOSÉ DE CASTILHO MOREIRA, S/N","CENTRO","Caxambu","MG","37440000"
"8ª Delegacia do Serviço Militar da 16ª C S M","8ª Del SM / 16ª CSM","PRAÇA VINTE E CINCO DE JULHO, 1","CENTRO","Rio do Sul","SC","89160000"
"8ª Delegacia do Serviço Militar da 2ª C S M","8ª Del SM / 2ª CSM","RUA SILVA CARDOSO, 349","BANGU","Rio de Janeiro","RJ","21810030"
"8ª Delegacia do Serviço Militar da 21ª C S M","8ª Del SM / 21ª CSM","AV. CLETO CAMPELO, 16","CENTRO","Caruaru","PE","55100000"
"8ª Delegacia do Serviço Militar da 23ª C S M","8ª Del SM / 23ª CSM","RUA CEL CÂNDIDO DE ASSIS S/N","CENTRO","Pombal","PB","58840000"
"8ª Delegacia do Serviço Militar da 24ª C S M","8ª Del SM / 24ª CSM","RUA DA INDEPENDÊNCIA, 1455","CENTRO","Pau dos Ferros","RN","59900000"
"8ª Delegacia do Serviço Militar da 25ª C S M","8ª Del SM / 25ª CSM","RUA CEL SINDULFO CHAVES, 2164","CENTRO","Limoeiro do Norte","CE","62930000"
"8ª Delegacia do Serviço Militar da 28ª C S M","8ª Del SM / 28ª CSM","ESTRADA DO UTINGA S/N - EST TIRO GEN DUTRA","MARCO","Belém","PA","66610010"
"8ª Delegacia do Serviço Militar da 30ª C S M","8ª Del SM / 30ª CSM","RUA 13 DE MAIO, 705","CENTRO","Rondonópolis","MT","78700160"
"8ª Delegacia do Serviço Militar da 4ª C S M","8ª Del SM / 4ª CSM","PARQUE DR BARBOSA DE OLIVEIRA","CENTRO","Taubaté","SP","12020190"
"8ª Delegacia do Serviço Militar da 5ª C S M","8ª Del SM / 5ª CSM","RUA SÃO SEBASTIÃO, 234 - 1º ANDAR","CENTRO","Jaboticabal","SP","14870000"
"8ª Delegacia do Serviço Militar da 7ª C S M","8ª Del SM / 7ª CSM","RUA SEGISMUNDO MENDES, 513","CENTRO","Uberaba","MG","38010140"
"8ª Delegacia do Serviço Militar da 8ª C S M","8ª Del SM / 8ª CSM","RUA JOÃO PESSOA,1388 FUNDOS-SUB-SOLO","CENTRO","Montenegro","RS","95780000"
"8º Depósito de Suprimento","8º D Sup","RODOVIA ARTUR BERNARDES, 8400","PRATINHA II","Belém","PA","66816000"
"8º Esquadrão de Cavalaria Mecanizado","8º Esqd C Mec","AV ORLEANS, S/N","SERRARIA","Porto Alegre","RS","91770620"
"8º Grupo de Artilharia de Campanha Paraquedista","8º GAC Pqdt","RUA SÃO SEBASTIÃO S/N","DEODORO","Rio de Janeiro","RJ","21615310"
"8ª Inspetoria de Contabilidade e Finanças do Exército","8ª ICFEx","AV ALMIRANTE BARROSO, 4531","SOUZA","Belém","PA","66613710"
"8º Pelotão de Polícia do Exército","8º Pel PE","AV ZEFERINO COSTA, 5000","PESTANO","Pelotas","RS","96070480"
"8º Regimento de Cavalaria Mecanizado","8º RC Mec","RUA 15 DE NOVEMBRO S/N","CENTRO","Uruguaiana","RS","97500510"
"9º Batalhão de Comunicações e Guerra Eletrônica","9º B COM GE",,,"Campo Grande","MS",
"9º Batalhão de Engenharia de Combate","9º BE Cmb","RUA DUQUE DE CAXIAS S/N","BAIRRO ALTO","Aquidauana","MS","79200000"
"9º Batalhão de Engenharia de Construção","9º BEC","AV FERNANDO CORREA DA COSTA , 2979","COXIPÓ PONTE","Cuiabá","MT","78070001"
"9º Batalhão de Infantaria Motorizado","9º BI Mtz","AVENIDA DUQUE DE CAXIAS, 344","FRAGATA","Pelotas","RS","96030002"
"9º Batalhão de Manutenção","9º B Mnt","Av Duque de Caxias, Nº 1551","CAMPO GRANDE","Campo Grande","MS","79100401"
"9º Batalhão de Suprimento","9º B Sup","RUA GEN NEPOMUCENO COSTA, 219","VILA ALBA","Campo Grande","MS","79100010"
"9º Batalhão Logístico","9º B Log","AV. APARÍCIO MARIENSE Nº 345","VILA NOVA","Santiago","RS","97700000"
"9ª Bateria de Artilharia Antiaérea (Escola)","9ª Bia AAAe (Es)","Rua Compositor Benedito Lacerda, nº 300","Centro","Macaé","RJ","27913000"
"9ª Companhia de Guardas","9ª Cia G","AV DUQUE DE CAXIAS, 1628","AMAMBAI","Campo Grande","MS","79100900"
"9ª Delegacia do Serviço Militar da 10ª C S M","9ª Del SM / 10ª CSM","RUA MARCILIO DIAS S/N",,"Frederico Westphalen","RS","98400000"
"9ª Delegacia do Serviço Militar da 11ª C S M","9ª Del SM / 11ª CSM","RUA CONDE DE BOBADELA, 180","CENTRO","Ouro Preto","MG","35400000"
