NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"22ª Delegacia do Serviço Militar da 15ª C S M","22ª Del SM / 15ª CSM","PRAÇA CORONEL AMAZONAS, 46","CENTRO","União da Vitória","PR","84600000"
"22ª Delegacia do Serviço Militar da 2ª CSM","22ª Del SM / 2ª CSM","PRAÇA BERNARDI MONTEIRO, 20","CENTRO","Alegre","ES","29500000"
"22ª Delegacia do Serviço Militar da 6ª C S M","22ª Del SM / 6ª CSM",,,"Penápolis","SP",
"22º Depósito de Suprimento","22º D Sup","AV MUNICIPAL S/NR","Jardim Belval","Barueri","SP","06442130"
"22º Grupo de Artilharia de Campanha / Autopropulsado","22º GAC / AP","RUA 15 DE NOVEMBRO S/N","RIO BRANCO","Uruguaiana","RS","97500510"
"22º Pelotão de Polícia do Exército","22º Pel PE",,,"São Gabriel da Cachoeira","AM",
"23º Batalhão de Caçadores","23º BC","AV 13 DE MAIO, 1589","FÁTIMA","Fortaleza","CE","60040531"
"23º Batalhão de Infantaria","23º BI","RUA AMAZONAS, 3312","GARCIA","Blumenau","SC","89022000"
"23º Batalhão Logístico de Selva","23º B Log Sl","RODOVIA TRANSAMAZÔNICA KM 9","NOVA MARABÁ","Marabá","PA","68501970"
"23ª Circunscrição de Serviço Militar","23ª CSM","PRAÇA OLAVO BILAC S/N","VARADOURO","João Pessoa","PB","58010610"
"23ª Companhia de Comunicações de Selva","23ª Cia Com Sl","FOLHA 23 - QUADRA ESPECIAL","NOVA MARABÁ","Marabá","PA","68509630"
"23ª Companhia de Engenharia de Combate","23ª Cia E Cmb","Av. Pandiá Calógeras, n° 49","Centro","Ipameri","GO","75780000"
"23ª Delegacia do Serviço Militar da 12ª C S M","23ª Del SM / 12ª CSM","TERMINAL RODOVIÁRIO, S/N","CENTRO","Ubá","MG","36500000"
"23ª Delegacia do Serviço Militar da 14ª C S M","23ª Del SM / 14ª CSM","RUA SANTA CRUZ,  933","CENTRO","Itu","SP","13300000"
